review_scores_rating,name_sentiment,description_sentiment,neighborhood_overview_sentiment,host_duration_years,host_about_sentiment,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_phone_verified,host_email_verified,host_work_email_verified,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,years_since_first_review,years_since_last_review,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,review_sentiment,review_sentiment_average
4.87,0,5,13,9.545205479,7,0.9,0.3,-1,1,1,1,1,-1,1,1,5,0.5,3,3,593,2,365,2,2,365,365,2,365,1,11,34,64,337,70,8,3,8.997260274,0.301369863,-1,1,1,0,0,0.66,700,10
4.54,5,18,9,9.994520548,14,0,0,-1,1,1,1,1,-1,1,1,2,0.5,1,1,48,2,1125,2,2,1125,1125,2,1125,1,0,0,0,0,54,0,0,9.183561644,5.030136986,-1,1,0,1,0,0.5,410,7.592592593
4.59,3,17,10,11.85479452,13,1,0.88,1,4,4,1,1,1,1,-1,3,0.5,1,2,141,3,150,3,3,150,150,3,150,1,0,0,0,0,138,25,5,7.578082192,0.345205479,-1,3,2,1,0,1.56,978,7.086956522
4.72,0,11,7,9.539726027,9,1,0.93,-1,1,2,1,1,-1,1,1,2,0.5,1,1,90,3,4,3,3,4,4,3,4,1,0,0,0,0,140,10,3,9.389041096,0.317808219,-1,1,0,1,0,1.27,1325,9.464285714
4.94,3,23,23,9.736986301,3,0,0.78,-1,1,1,1,1,-1,1,1,8,0.5,4,5,160,4,18,4,4,18,18,4,18,1,0,0,0,0,63,5,1,9.350684932,0.375342466,-1,1,1,0,0,0.57,925,14.68253968
4.78,0,34,0,11.50684932,8,1,0.96,-1,5,5,1,1,1,1,1,2,0.5,1,1,95,2,14,2,2,1125,1125,2,1125,1,0,0,0,0,237,8,0,6.783561644,0.895890411,1,3,1,2,0,3,2674,11.28270042
4.76,0,23,1,10.03835616,0,0,0,-1,1,3,1,1,-1,1,1,2,0.5,1,1,300,3,1125,3,3,1125,1125,3,1125,1,0,0,0,0,56,0,0,9.383561644,5.690410959,-1,1,0,1,0,0.51,783,13.98214286
5,7,22,6,10.62739726,0,0,0,-1,1,1,1,1,-1,1,-1,2,0.5,1,1,75,3,1125,3,3,1125,1125,3,1125,1,0,0,0,0,3,0,0,8,7.879452055,-1,1,0,1,0,0.03,26,8.666666667
4.73,0,2,0,9.715068493,0,1,0.96,-1,1,1,1,1,-1,1,1,1,0.5,1,1,40,4,150,4,4,1125,1125,4,1125,1,5,19,34,248,141,13,3,9.369863014,0.306849315,1,1,0,1,0,1.28,933,6.617021277
4.79,0,24,3,9.775342466,26,0,0.39,-1,1,7,1,1,-1,1,1,2,0.5,1,1,68,2,1125,2,2,1125,1125,2,1125,1,0,0,0,0,119,0,0,9.38630137,4.175342466,-1,1,0,1,0,1.08,976,8.201680672
4.64,0,21,40,10.82191781,44,1,0.9,1,2,7,1,1,-1,1,1,2,0.5,1,1,59,2,1125,2,5,1125,1125,2,1125,1,1,1,1,1,61,3,1,9.309589041,0.347945205,-1,2,0,2,0,0.56,1054,17.27868852
4.84,0,4,0,9.389041096,0,1,0.4,-1,2,2,1,1,-1,1,1,1,0.5,1,1,800,5,21,5,5,21,21,5,21,1,0,0,0,0,58,0,0,9.369863014,5.164383562,-1,2,1,1,0,0.53,902,15.55172414
4.56,4,23,11,9.539726027,0,0.2,0.01,-1,1,2,1,1,1,1,1,4,0.5,2,2,350,7,31,7,7,31,31,7,31,1,7,23,45,46,51,1,1,9.254794521,0.339726027,-1,1,1,0,0,0.47,660,12.94117647
4.89,6,6,4,11.23013699,6,1,1,1,2,2,1,1,-1,1,1,5,0.5,3,3,294,3,1125,4,7,1125,1125,4.2,1125,1,0,1,1,1,19,6,1,6.391780822,0.375342466,-1,1,1,0,0,0.26,137,7.210526316
4.92,0,8,12,10.24657534,3,1,0.9,1,2,3,1,1,-1,1,1,1,0.5,1,1,85,2,4,2,2,4,4,2,4,1,0,1,1,81,60,7,0,9.164383562,0.673972603,-1,2,0,2,0,0.56,770,12.83333333
4.83,2,24,12,9.350684932,31,1,1,-1,1,3,1,1,-1,1,-1,1,0.5,1,1,85,3,28,3,3,28,28,3,28,1,7,37,67,67,64,1,1,8.594520548,0.317808219,-1,1,0,1,0,0.63,671,10.484375
4.9,0,9,11,10.24657534,3,1,0.9,1,2,3,1,1,-1,1,1,2,0.5,1,1,110,2,4,2,2,4,4,2,4,1,0,0,3,84,73,3,0,8.909589041,0.57260274,-1,2,0,2,0,0.7,1003,13.73972603
4.83,0,14,0,9.808219178,22,0,0,-1,4,4,1,1,-1,1,1,2,0.5,1,1,55,2,1125,2,2,1125,1125,2,1125,1,0,0,0,0,309,0,0,7.62739726,2.832876712,1,4,1,3,0,3.46,3215,10.40453074
4.75,0,25,0,9.257534247,23,0.75,0.33,-1,1,2,1,1,-1,1,-1,6,0.5,3,5,190,5,1125,5,5,1125,1125,5,1125,1,0,0,13,278,4,1,0,7.742465753,0.476712329,-1,1,0,1,0,0.04,30,7.5
4.88,0,12,9,9.646575342,15,1,0.93,-1,1,3,1,1,-1,1,1,2,0.5,1,2,86,2,1125,2,2,1125,1125,2,1125,1,3,6,9,9,67,3,3,8.608219178,0.320547945,-1,1,0,1,0,0.66,961,14.34328358
4.88,0,8,0,9.591780822,4,1,1,-1,2,5,1,1,-1,1,1,3,0.5,2,3,150,5,20,5,5,1125,1125,5,1125,1,10,14,14,110,107,5,2,8.926027397,0.312328767,1,2,2,0,0,1.02,1142,10.6728972
4.53,0,9,5,10.22739726,21,0,0,-1,1,2,1,-1,-1,1,-1,4,0.5,2,2,150,2,14,2,2,14,14,2,14,1,0,0,0,0,18,0,0,8.778082192,4.098630137,-1,1,1,0,0,0.17,136,7.555555556
4.89,3,17,0,9.263013699,19,1,0.86,1,3,4,1,1,-1,1,1,2,0.5,1,1,75,2,90,2,20,90,1125,6,483.4,1,0,0,3,67,512,14,4,9.087671233,0.339726027,-1,3,0,3,0,4.79,5157,10.07226563
4.88,0,17,0,9.263013699,19,1,0.86,1,3,4,1,1,-1,1,1,4,0.5,2,3,100,1,180,1,1,180,180,1,180,1,0,0,0,0,82,0,0,9.079452055,2.871232877,-1,3,0,3,0,0.77,843,10.2804878
4.83,1,21,11,11,0,1,0.99,-1,8,8,1,1,-1,1,1,6,0.5,1,4,240,2,365,2,5,365,365,3,365,1,4,13,22,210,133,29,4,8.643835616,0.301369863,1,8,8,0,0,1.31,1125,8.458646617
4.97,0,11,3,9.117808219,11,1,0.91,-1,1,2,1,1,-1,1,1,2,0.5,1,1,105,1,1125,1,1,1125,1125,1,1125,1,2,16,40,248,616,94,6,8.41369863,0.336986301,-1,1,0,1,0,6.24,6869,11.15097403
4.73,0,4,8,9.569863014,6,0.95,0.94,-1,2,3,1,1,-1,1,1,1,0.5,1,1,53,3,1125,3,3,1125,1125,3,1125,1,2,8,21,245,292,31,3,8.865753425,0.301369863,-1,2,0,2,0,2.8,2735,9.366438356
4.68,0,14,11,9.054794521,6,0,0,-1,1,2,1,1,-1,1,1,2,0.5,1,1,95,14,1125,14,14,1125,1125,14,1125,1,0,0,0,0,64,0,0,6.821917808,3.550684932,-1,1,1,0,0,0.81,751,11.734375
4.79,2,11,0,9.764383562,19,0.33,0,-1,1,2,1,1,-1,1,1,2,0.5,1,1,80,2,10,2,2,10,10,2,10,1,0,0,0,0,48,0,0,7.8,6.194520548,-1,1,0,1,0,0.53,586,12.20833333
4.71,3,14,0,9.967123288,4,0,0,-1,2,3,1,-1,1,1,-1,4,0.5,2,2,70,2,1125,2,2,1125,1125,2,1125,1,0,0,0,0,7,0,0,5.673972603,4.923287671,-1,1,1,0,0,0.11,53,7.571428571
4.82,0,1,3,11.08219178,6,1,0.29,-1,2,2,1,1,-1,1,1,2,0.5,1,1,125,14,1125,14,14,1125,1125,14,1125,1,0,0,0,0,58,3,0,8.956164384,0.476712329,-1,1,1,0,0,0.55,992,17.10344828
4.51,0,19,6,8.991780822,3,1,0.97,-1,2,2,1,1,-1,1,1,2,0.5,1,1,80,2,5,2,3,5,5,2.1,5,1,1,1,1,1,477,72,3,8.876712329,0.339726027,-1,2,0,2,0,4.57,4177,8.775210084
